sourceRun,seed,blocks,nativeP20,nativeUpper,nativeHigh,nativeP19Score,nativeP19Extreme,nativeFullY112,nativeY96Largest,nativeCoarse
670M,-2125068044009786370,43956,15.0,82.0,25.0,8.041497811,True,7.0,15.0,372.0
670M,-3094946148784931472,43561,11.0,25.0,17.0,10.235934353,False,0.0,5.0,433.0
670M,-920191733436244187,43443,6.0,18.0,8.0,5.688272612,False,2.0,7.0,401.0
670M,-7017890457898118961,43182,2.0,12.0,11.0,10.607439846,False,3.0,8.0,415.0
670M,-3699323969047154835,42887,7.0,29.0,12.0,6.713106435,False,2.0,6.0,357.0
670M,-3557335985004918868,42827,3.0,18.0,18.0,15.617702071,True,2.0,14.0,382.0
31.9M-independent,7148473824908455837,42776,23.0,93.0,34.0,7.805586055,False,2.0,12.0,229.0
670M,-5839017460896585840,42235,14.0,69.0,32.0,8.064757611,False,7.0,5.0,396.0
31.9M-independent,-1264718185903771600,41718,10.0,47.0,27.0,11.318222322,False,4.0,12.0,401.0
670M,-3266392161875625750,41666,10.0,30.0,14.0,7.738203381,False,3.0,9.0,354.0
670M,6927341247910061116,41135,1.0,12.0,9.0,5.981133737,False,0.0,5.0,336.0
670M,-8795919506147473987,40737,14.0,43.0,17.0,6.859771772,False,8.0,5.0,324.0
670M,-7723753280450256042,40685,5.0,24.0,20.0,8.263007304,True,0.0,19.0,365.0
670M,-1653045267500595619,40672,5.0,15.0,15.0,14.699678845,False,2.0,9.0,285.0
670M,-1162726706194103249,40611,9.0,39.0,23.0,10.444297524,False,3.0,9.0,361.0
670M,6832414486483557811,40581,1.0,21.0,13.0,8.808481614,False,2.0,8.0,365.0
670M,6736689545972102773,40234,5.0,16.0,12.0,6.080405999,False,1.0,11.0,396.0
670M,1403896026528718773,40010,11.0,46.0,21.0,7.930406448,False,4.0,9.0,339.0
670M,-8850525393895101010,39944,3.0,16.0,12.0,16.008692818,False,8.0,12.0,321.0
670M,6008592056573586803,39899,4.0,21.0,17.0,11.213271937,False,3.0,4.0,390.0
670M,-619455626096914442,39785,17.0,61.0,16.0,6.026934524,False,9.0,10.0,377.0
670M,4742160924538644499,39644,26.0,94.0,24.0,6.966683749,True,6.0,17.0,339.0
670M,-3164695504012536872,39576,10.0,57.0,18.0,6.613653785,False,5.0,4.0,333.0
670M,-6729073712711460778,39477,3.0,18.0,12.0,16.374735156,False,8.0,8.0,363.0
670M,-1892655321417705275,39387,4.0,21.0,18.0,10.464016658,False,1.0,12.0,355.0
670M,8783980477920230111,39366,9.0,24.0,9.0,4.292378136,False,3.0,5.0,311.0
670M,-6296107252099984698,39323,4.0,22.0,10.0,15.407498746,False,8.0,8.0,339.0
670M,-3474763403190803588,39307,6.0,17.0,14.0,10.438034441,False,10.0,8.0,356.0
670M,7220261742828091501,39295,7.0,37.0,17.0,7.991845775,False,7.0,12.0,372.0
670M,-1352686661969929189,39126,5.0,27.0,14.0,6.929783171,False,3.0,13.0,402.0
670M,-7050853472177698037,39061,8.0,34.0,15.0,5.806194421,False,0.0,8.0,352.0
670M,7198712546449249042,39019,15.0,62.0,35.0,18.115677049,True,12.0,26.0,447.0
670M,-3536499306952428620,38824,16.0,85.0,28.0,7.959387019,False,13.0,11.0,376.0
670M,-242575654024243597,38812,22.0,73.0,30.0,7.221929866,True,19.0,17.0,401.0
670M,-66302682017606374,38756,9.0,25.0,15.0,9.444634584,False,4.0,6.0,363.0
